;Date;AMD;CHGG;NVDA
151;19/05/2021;1.0;2.0;1.0
152;20/05/2021;1.0;1.0;1.0
153;21/05/2021;2.0;2.0;1.0
154;24/05/2021;1.0;2.0;1.0
155;25/05/2021;1.0;1.0;1.0
156;26/05/2021;1.0;1.0;1.0
157;27/05/2021;1.0;1.0;1.0
158;28/05/2021;1.0;1.0;1.0
159;01/06/2021;2.0;2.0;1.0
160;02/06/2021;1.0;1.0;1.0
161;03/06/2021;2.0;2.0;1.0
162;04/06/2021;1.0;2.0;1.0
163;07/06/2021;2.0;1.0;1.0
164;08/06/2021;2.0;1.0;1.0
165;09/06/2021;2.0;2.0;1.0
166;10/06/2021;1.0;1.0;1.0
167;11/06/2021;2.0;1.0;1.0
168;14/06/2021;1.0;1.0;1.0
169;15/06/2021;2.0;2.0;1.0
170;16/06/2021;2.0;1.0;1.0
171;17/06/2021;1.0;1.0;1.0
172;18/06/2021;1.0;1.0;1.0
173;21/06/2021;2.0;1.0;1.0
174;22/06/2021;1.0;1.0;1.0
175;23/06/2021;2.0;1.0;1.0
176;24/06/2021;1.0;1.0;1.0
177;25/06/2021;2.0;2.0;1.0
178;28/06/2021;1.0;1.0;1.0
179;29/06/2021;1.0;1.0;1.0
180;30/06/2021;1.0;2.0;1.0
181;01/07/2021;2.0;1.0;1.0
182;02/07/2021;1.0;1.0;1.0
183;06/07/2021;2.0;1.0;1.0
184;07/07/2021;2.0;2.0;1.0
185;08/07/2021;1.0;1.0;1.0
186;09/07/2021;1.0;1.0;1.0
187;12/07/2021;2.0;2.0;1.0
188;13/07/2021;2.0;1.0;1.0
189;14/07/2021;2.0;2.0;1.0
190;15/07/2021;2.0;2.0;1.0
191;16/07/2021;2.0;2.0;1.0
192;19/07/2021;1.0;1.0;1.0
193;20/07/2021;1.0;1.0;1.0
194;21/07/2021;1.0;1.0;1.0
195;22/07/2021;1.0;1.0;1.0
196;23/07/2021;1.0;1.0;1.0
197;26/07/2021;2.0;2.0;1.0
198;27/07/2021;2.0;2.0;1.0
199;28/07/2021;1.0;1.0;1.0
200;29/07/2021;1.0;1.0;1.0
201;30/07/2021;1.0;2.0;1.0
202;02/08/2021;1.0;1.0;1.0
203;03/08/2021;1.0;2.0;1.0
204;04/08/2021;1.0;2.0;1.0
205;05/08/2021;2.0;2.0;1.0
206;06/08/2021;2.0;2.0;1.0
207;09/08/2021;2.0;2.0;1.0
208;10/08/2021;2.0;1.0;1.0
209;11/08/2021;1.0;2.0;1.0
210;12/08/2021;2.0;2.0;1.0
211;13/08/2021;1.0;1.0;1.0
212;16/08/2021;2.0;2.0;1.0
213;17/08/2021;1.0;1.0;1.0
214;18/08/2021;2.0;2.0;1.0
215;19/08/2021;1.0;2.0;1.0
216;20/08/2021;1.0;1.0;1.0
217;23/08/2021;1.0;1.0;1.0
218;24/08/2021;2.0;1.0;1.0
219;25/08/2021;1.0;2.0;1.0
220;26/08/2021;2.0;2.0;1.0
221;27/08/2021;1.0;1.0;1.0
222;30/08/2021;2.0;1.0;1.0
223;31/08/2021;2.0;1.0;1.0
224;01/09/2021;2.0;1.0;1.0
225;02/09/2021;2.0;1.0;1.0
226;03/09/2021;1.0;1.0;1.0
227;07/09/2021;2.0;2.0;1.0
228;08/09/2021;2.0;2.0;1.0
229;09/09/2021;2.0;1.0;1.0
230;10/09/2021;2.0;2.0;1.0
231;13/09/2021;2.0;2.0;1.0
232;14/09/2021;1.0;2.0;1.0
233;15/09/2021;2.0;2.0;1.0
234;16/09/2021;1.0;1.0;1.0
235;17/09/2021;2.0;1.0;1.0
236;20/09/2021;2.0;2.0;1.0
237;21/09/2021;1.0;1.0;1.0
238;22/09/2021;1.0;2.0;1.0
239;23/09/2021;1.0;1.0;1.0
240;24/09/2021;1.0;2.0;1.0
241;27/09/2021;1.0;1.0;1.0
242;28/09/2021;2.0;2.0;1.0
243;29/09/2021;2.0;2.0;1.0
244;30/09/2021;1.0;1.0;1.0
245;01/10/2021;2.0;1.0;1.0
246;04/10/2021;2.0;1.0;1.0
247;05/10/2021;1.0;1.0;1.0
248;06/10/2021;1.0;2.0;1.0
249;07/10/2021;1.0;2.0;1.0
250;08/10/2021;2.0;2.0;1.0
