,symbol,close,tradingDate,symbol,open,tradingDate,Change,Type
0,VNM,89.6,2021-10-08,VNM,88.9,2021-10-08,0.6999999999999886,1.0
1,VNM,88.8,2021-10-07,VNM,89.3,2021-10-07,-0.5,2.0
2,VNM,89.3,2021-10-06,VNM,89.6,2021-10-06,-0.29999999999999716,2.0
3,VNM,89.6,2021-10-05,VNM,90.3,2021-10-05,-0.7000000000000028,2.0
4,VNM,90.2,2021-10-04,VNM,90.5,2021-10-04,-0.29999999999999716,2.0
5,VNM,89.8,2021-10-01,VNM,89.3,2021-10-01,0.5,1.0
6,VNM,89.6,2021-09-30,VNM,89.9,2021-09-30,-0.30000000000001137,2.0
7,VNM,89.6,2021-09-29,VNM,89.3,2021-09-29,0.29999999999999716,1.0
8,VNM,89.3,2021-09-28,VNM,88.8,2021-09-28,0.5,1.0
9,VNM,88.8,2021-09-27,VNM,90.6,2021-09-27,-1.7999999999999972,2.0
10,VNM,90.7,2021-09-24,VNM,91.0,2021-09-24,-0.29999999999999716,2.0
11,VNM,90.8,2021-09-23,VNM,91.5,2021-09-23,-0.7000000000000028,2.0
12,VNM,91.5,2021-09-22,VNM,88.5,2021-09-22,3.0,1.0
13,VNM,88.8,2021-09-21,VNM,88.0,2021-09-21,0.7999999999999972,1.0
14,VNM,88.7,2021-09-20,VNM,87.6,2021-09-20,1.1000000000000085,1.0
15,VNM,86.5,2021-09-17,VNM,86.4,2021-09-17,0.09999999999999432,1.0
16,VNM,86.4,2021-09-16,VNM,86.5,2021-09-16,-0.09999999999999432,2.0
17,VNM,86.1,2021-09-15,VNM,86.8,2021-09-15,-0.7000000000000028,2.0
18,VNM,87.0,2021-09-14,VNM,87.2,2021-09-14,-0.20000000000000284,2.0
19,VNM,87.2,2021-09-13,VNM,86.5,2021-09-13,0.7000000000000028,1.0
20,VNM,86.5,2021-09-10,VNM,85.2,2021-09-10,1.2999999999999972,1.0
21,VNM,85.2,2021-09-09,VNM,85.4,2021-09-09,-0.20000000000000284,2.0
