,symbol,close,tradingDate,symbol,open,tradingDate,Change,Type
0,MWG,128.8,2021-10-08,MWG,127.5,2021-10-08,1.3000000000000114,1.0
1,MWG,128.0,2021-10-07,MWG,127.3,2021-10-07,0.7000000000000028,1.0
2,MWG,128.3,2021-10-06,MWG,126.7,2021-10-06,1.6000000000000085,1.0
3,MWG,126.8,2021-10-05,MWG,126.0,2021-10-05,0.7999999999999972,1.0
4,MWG,126.2,2021-10-04,MWG,125.0,2021-10-04,1.2000000000000028,1.0
5,MWG,126.2,2021-10-01,MWG,127.0,2021-10-01,-0.7999999999999972,2.0
6,MWG,127.8,2021-09-30,MWG,127.8,2021-09-30,0.0,3.0
7,MWG,127.8,2021-09-29,MWG,126.8,2021-09-29,1.0,1.0
8,MWG,126.7,2021-09-28,MWG,124.6,2021-09-28,2.1000000000000085,1.0
9,MWG,126.0,2021-09-27,MWG,129.0,2021-09-27,-3.0,2.0
10,MWG,130.5,2021-09-24,MWG,132.2,2021-09-24,-1.6999999999999886,2.0
11,MWG,132.0,2021-09-23,MWG,126.5,2021-09-23,5.5,1.0
12,MWG,125.7,2021-09-22,MWG,124.0,2021-09-22,1.7000000000000028,1.0
13,MWG,123.8,2021-09-21,MWG,121.1,2021-09-21,2.700000000000003,1.0
14,MWG,123.0,2021-09-20,MWG,124.9,2021-09-20,-1.9000000000000057,2.0
15,MWG,123.0,2021-09-17,MWG,123.6,2021-09-17,-0.5999999999999943,2.0
16,MWG,123.6,2021-09-16,MWG,124.5,2021-09-16,-0.9000000000000057,2.0
17,MWG,124.6,2021-09-15,MWG,123.5,2021-09-15,1.0999999999999943,1.0
18,MWG,124.5,2021-09-14,MWG,124.0,2021-09-14,0.5,1.0
19,MWG,125.0,2021-09-13,MWG,118.9,2021-09-13,6.099999999999994,1.0
20,MWG,118.9,2021-09-10,MWG,119.0,2021-09-10,-0.09999999999999432,2.0
21,MWG,118.9,2021-09-09,MWG,111.8,2021-09-09,7.1000000000000085,1.0
22,MWG,111.4,2021-09-08,MWG,110.3,2021-09-08,1.1000000000000085,1.0
23,MWG,110.3,2021-09-07,MWG,111.4,2021-09-07,-1.1000000000000085,2.0
24,MWG,111.0,2021-09-06,MWG,111.0,2021-09-06,0.0,3.0
25,MWG,110.2,2021-09-01,MWG,110.3,2021-09-01,-0.09999999999999432,2.0
26,MWG,111.0,2021-08-31,MWG,111.0,2021-08-31,0.0,3.0
27,MWG,110.6,2021-08-30,MWG,111.1,2021-08-30,-0.5,2.0
28,MWG,109.333,2021-08-27,MWG,107.804,2021-08-27,1.5289999999999964,1.0
29,MWG,107.671,2021-08-26,MWG,108.934,2021-08-26,-1.262999999999991,2.0
30,MWG,107.339,2021-08-25,MWG,107.007,2021-08-25,0.33199999999999363,1.0
31,MWG,106.674,2021-08-24,MWG,105.545,2021-08-24,1.1290000000000049,1.0
32,MWG,105.079,2021-08-23,MWG,108.336,2021-08-23,-3.257000000000005,2.0
33,MWG,109.001,2021-08-20,MWG,114.318,2021-08-20,-5.316999999999993,2.0
34,MWG,114.65,2021-08-19,MWG,114.65,2021-08-19,0.0,3.0
35,MWG,114.65,2021-08-18,MWG,112.324,2021-08-18,2.3260000000000076,1.0
36,MWG,112.922,2021-08-17,MWG,112.922,2021-08-17,0.0,3.0
37,MWG,113.055,2021-08-16,MWG,113.985,2021-08-16,-0.9299999999999926,2.0
38,MWG,113.653,2021-08-13,MWG,112.656,2021-08-13,0.9969999999999999,1.0
39,MWG,112.988,2021-08-12,MWG,115.315,2021-08-12,-2.326999999999998,2.0
40,MWG,116.312,2021-08-11,MWG,115.647,2021-08-11,0.664999999999992,1.0
41,MWG,115.581,2021-08-10,MWG,115.647,2021-08-10,-0.0660000000000025,2.0
42,MWG,115.514,2021-08-09,MWG,113.653,2021-08-09,1.86099999999999,1.0
43,MWG,113.985,2021-08-06,MWG,114.982,2021-08-06,-0.9969999999999999,2.0
44,MWG,114.982,2021-08-05,MWG,112.723,2021-08-05,2.2590000000000003,1.0
45,MWG,112.988,2021-08-04,MWG,113.055,2021-08-04,-0.06700000000000728,2.0
46,MWG,112.922,2021-08-03,MWG,112.922,2021-08-03,0.0,3.0
47,MWG,112.922,2021-08-02,MWG,109.001,2021-08-02,3.9209999999999923,1.0
48,MWG,109.067,2021-07-30,MWG,107.339,2021-07-30,1.7279999999999944,1.0
49,MWG,108.203,2021-07-29,MWG,106.209,2021-07-29,1.9939999999999998,1.0
